"BugId","GT","jdt","jface","core","swt","ui","debug","ltk","text","jdi","search","compare","other"
"73254","1","0.0","0.0","0.0","0.0","0.0","0.0","15","0.0","7","0.0","3","16"
"73337","17","0.0","0.0","6","0.0","0.0","0.0","14","0.0","6","0.0","1","11"
"72348","12","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","16","0.0","4","0.0"
"74514","19","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","17","0.0"
"72792","15","3","0.0","0.0","0.0","0.0","0.0","0.0","11","20","0.0","5","0.0"
"74244","19","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","18","0.0"
"72684","12","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","11","0.0","6","0.0"
"73822","4","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","8","0.0"
"74592","14","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","15","0.0"
"73347","17","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2","0.0","13","20"
"72795","7","0.0","0.0","20","0.0","0.0","0.0","7","10","11","0.0","9","16"
"73530","18","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4","0.0","3","0.0"
"72882","18","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","9","0.0","16","0.0"
"73198","7","0.0","0.0","0.0","0.0","0.0","0.0","0.0","8","6","0.0","15","0.0"
"72501","5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6","0.0","11","0.0"
"73579","2","0.0","0.0","10","0.0","0.0","0.0","2","0.0","20","0.0","12","17"
"73992","3","0.0","0.0","14","0.0","0.0","0.0","10","5","8","0.0","18","17"
"72780","7","0.0","0.0","0.0","0.0","0.0","0.0","0.0","12","7","0.0","16","0.0"
"72371","11","0.0","0.0","0.0","0.0","0.0","0.0","0.0","10","18","0.0","17","0.0"
"74320","19","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","17","0.0","19","0.0"
"73336","10","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","13","0.0","16","0.0"
"73762","12","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3","1","10","0.0"
"72238","5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","8","0.0"
"72891","18","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","7","0.0","8","0.0"
"72942","5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6","0.0"
"109777","4","0.0","0.0","9","0.0","0.0","0.0","1","20","12","0.0","0.0","0.0"
"74513","8","0.0","0.0","5","0.0","0.0","0.0","17","0.0","9","0.0","5","8"
"74355","18","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5","9","0.0"
"72553","3","0.0","0.0","9","0.0","0.0","0.0","18","0.0","3","0.0","19","19"
"74085","15","0.0","0.0","4","0.0","0.0","0.0","7","0.0","0.0","0.0","0.0","0.0"
"73884","10","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","12","0.0","3","0.0"
"72352","5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","15","0.0"
"72923","16","0.0","0.0","1","0.0","0.0","0.0","14","0.0","4","0.0","1","14"
"72912","6","0.0","0.0","16","0.0","0.0","4","2","0.0","1","0.0","10","0.0"
"72520","6","0.0","0.0","0.0","0.0","0.0","6","0.0","0.0","3","0.0","12","0.0"
"72560","18","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2","0.0"
"73371","18","0.0","13","0.0","0.0","0.0","0.0","0.0","0.0","20","0.0","15","0.0"
"72889","18","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","20","0.0","11","0.0"
"74262","3","0.0","0.0","0.0","0.0","0.0","10","0.0","0.0","3","0.0","16","0.0"
"74934","5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4","0.0"
"73245","14","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","10","0.0"
"73864","3","0.0","0.0","15","0.0","0.0","0.0","4","1","6","0.0","15","17"
"73356","12","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","18","0.0","16","0.0"
"73232","4","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","12","0.0"
"73740","19","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","8","0.0"
"73891","12","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2","0.0","2","0.0"
"72992","2","0.0","0.0","0.0","0.0","0.0","0.0","4","0.0","13","0.0","11","2"
"73680","7","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","13","0.0"
"73794","4","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","17","0.0"
"74420","14","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4","0.0"
"73961","18","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","8","0.0","3","0.0"
"72230","12","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1","0.0"
"73987","4","17","0.0","5","0.0","0.0","0.0","18","7","14","6","7","3"
"73286","14","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","7","0.0"
"73486","7","11","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","20","0.0"
"74601","3","0.0","0.0","20","0.0","0.0","0.0","3","0.0","10","0.0","11","17"
"72233","18","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4","17","16","0.0"
